,SOURCE_ID,ra,dec,distance_gspphot,parallax
0,4056443366649948160,267.86774836312435,-29.87647654704596,968.4252,0.8015794067379126
1,4056443366649918848,267.8650630213499,-29.878635846227574,4067.52,0.2146248142181746
2,4056443371035970944,267.8660634969962,-29.8754210639409,,-1.2176261451061892
3,4056443366673984128,267.86634593166565,-29.87526698944431,,
4,4056443371035969280,267.86982340118897,-29.874983678356426,,0.10917233570146155
5,4056443366694893952,267.8699961766004,-29.878544453151477,,0.304588856110901
6,4056443366695974656,267.86772738542237,-29.87470127368364,661.2293,0.2771377908176741
7,4056443371036412928,267.8708957807912,-29.87694387290846,,
8,4056443370989472256,267.86565437182634,-29.875559240178127,,-0.8468393967706771
9,4056443366695974528,267.86708543281026,-29.87634803079141,,0.6254090902741362
